,open,high,low,close,data_magnitude,data_magnitude_exp_1,data_magnitude_exp_inv_1,data_magnitude_pow_1,data_magnitude_exp_2,data_magnitude_exp_inv_2,data_magnitude_pow_2,data_magnitude_exp_3,data_magnitude_exp_inv_3,data_magnitude_pow_3,data_magnitude_exp_4,data_magnitude_exp_inv_4,data_magnitude_pow_4,data_magnitude_exp_5,data_magnitude_exp_inv_5,data_magnitude_pow_5,data_magnitude_exp_6,data_magnitude_exp_inv_6,data_magnitude_pow_6,data_magnitude_exp_7,data_magnitude_exp_inv_7,data_magnitude_pow_7,data_magnitude_exp_8,data_magnitude_exp_inv_8,data_magnitude_pow_8,data_magnitude_exp_9,data_magnitude_exp_inv_9,data_magnitude_pow_9,data_magnitude_exp_10,data_magnitude_exp_inv_10,data_magnitude_pow_10,data_magnitude_exp_11,data_magnitude_exp_inv_11,data_magnitude_pow_11,data_magnitude_exp_12,data_magnitude_exp_inv_12,data_magnitude_pow_12,data_magnitude_exp_13,data_magnitude_exp_inv_13,data_magnitude_pow_13,data_magnitude_exp_14,data_magnitude_exp_inv_14,data_magnitude_pow_14,data_magnitude_exp_15,data_magnitude_exp_inv_15,data_magnitude_pow_15,data_magnitude_exp_16,data_magnitude_exp_inv_16,data_magnitude_pow_16,data_magnitude_exp_17,data_magnitude_exp_inv_17,data_magnitude_pow_17,data_magnitude_exp_18,data_magnitude_exp_inv_18,data_magnitude_pow_18,data_magnitude_exp_19,data_magnitude_exp_inv_19,data_magnitude_pow_19
open,1.0,0.9995414639387166,0.9995313494660408,0.9992983611046194,0.9997859170365987,0.23801100078980905,-0.25793605527153307,0.9997859170365987,0.13520648489523068,-0.16604089646253553,0.9888342619703872,0.09724304003031857,-0.13788889769676207,0.961797175104212,0.0769900650259503,-0.12320901871770934,0.9252966945630631,0.06559287307900044,-0.11307913765869619,0.8840176665686054,0.05860097589191883,-0.10515373048879147,0.8411769987958212,0.05389804188309875,-0.09861525836748064,0.7987644968010021,0.050489991440467376,-0.09308024120289261,0.7578228068017399,0.04788655519384052,-0.08831977927199904,0.7187709278476446,0.0,-0.08417548560140715,0.6816868978376998,0.0,-0.08052921559644131,0.6465042275388337,0.0,-0.0772897305424038,0.6131240030664092,0.0,-0.07438548046656175,0.5814652920541773,0.0,-0.07175997363800364,0.551478182902889,0.0,-0.06936845544154432,0.5231381810932578,0.0,-0.06717537962299135,0.49643407005110796,0.0,-0.06515243009896438,0.4713559477458946,0.0,-0.06327695866226916,0.44788640694467824,0.0,-0.061530749961835,0.4259955470237744
high,0.9995414639387166,1.0,0.9992565558296067,0.9996780459231356,0.9998185935555112,0.23819059856411992,-0.25728498690173085,0.9998185935555112,0.13531965699974147,-0.16565340183123856,0.9890034707178941,0.09738629523833843,-0.1375800163515966,0.9620633361162364,0.07718364815906889,-0.12294446284485434,0.9256301137106693,0.06583091197702147,-0.11284811268319671,0.8843973758644618,0.05887198518971721,-0.10495039803348334,0.8415881517103732,0.05419181243879494,-0.09843543091861112,0.7991961527374271,0.050798870770589796,-0.09292059580322067,0.75826649541427,0.04820512126306575,-0.0881775912284628,0.7192198463732584,0.0,-0.08404849387438905,0.682135498604462,0.0,-0.08041553141486782,0.6469480073601332,0.0,-0.07718776671325146,0.6135593806605181,0.0,-0.07429389466538247,0.5818895146869728,0.0,-0.07167762277426935,0.5518892366263808,0.0,-0.06929435910548612,0.5235346967695856,0.0,-0.06710869092722858,0.49681522589947597,0.0,-0.06509241245606635,0.47172137243453954,0.0,-0.06322296727102045,0.4482360876966444,0.0,-0.061482216999985954,0.4263297462888529
low,0.9995313494660408,0.9992565558296067,1.0,0.9996132370541554,0.9997850843153195,0.23792734764635512,-0.2583703454270036,0.9997850843153195,0.13498356541787698,-0.16622040895931353,0.9888416975221958,0.09704769468739623,-0.1380176307037974,0.9618519376593062,0.07686629635859235,-0.12331771546664168,0.9254140614345674,0.0655442270051272,-0.11317475013559991,0.8841959183400215,0.05861672960187316,-0.10523917345211602,0.8414054639849847,0.05396433568147,-0.09869247784301526,0.7990295689618033,0.05059406347733267,-0.09315078282496805,0.7581113314594512,0.04801796049286405,-0.0883849174332779,0.7190716224020062,0.0,-0.08423627262389631,0.6819906646610819,0.0,-0.08058651672170787,0.6468039799628938,0.0,-0.07734425501586206,0.6134143433834327,0.0,-0.0744378091488059,0.5817421901991819,0.0,-0.0718105826537499,0.5517387039007446,0.0,-0.06941773583558232,0.5233802660627762,0.0,-0.06722365338517672,0.49665636157883375,0.0,-0.06519996308995919,0.47155764887064966,0.0,-0.06332397099118664,0.4480671653624944,0.0,-0.061577424313250244,0.42615535887648287
close,0.9992983611046194,0.9996780459231356,0.9996132370541554,1.0,0.999839665683031,0.23805940333019815,-0.25787102960705327,0.999839665683031,0.13519075077670606,-0.16599015831639158,0.9889440499954578,0.0972434408471848,-0.13784770521980638,0.9619575161614352,0.07705064664822245,-0.12317325188719422,0.9254978236069741,0.06571846859622438,-0.11304707675464057,0.8842481163780571,0.05878125410805336,-0.10512463184083509,0.84142565207772,0.05412007152339226,-0.09858868958358996,0.7990217775162312,0.05074245537578091,-0.09305587161375274,0.7580811102471438,0.04816059803929214,-0.08829732505315305,0.7190245786468192,0.0,-0.08415469859077229,0.6819318946134502,0.0,-0.0805098813643785,0.6467379312468265,0.0,-0.07727166674604473,0.6133448415423473,0.0,-0.07436853406071786,0.5816725052450289,0.0,-0.0717440173205624,0.5516716119279,0.0,-0.06935338388790893,0.5233180970745424,0.0,-0.0671611058880038,0.4966010372840723,0.0,-0.06513888238233263,0.471510716173697,0.0,-0.06326407751045145,0.4480298295089958,0.0,-0.06151848590894726,0.4261285179123784
data_magnitude,0.9997859170365987,0.9998185935555112,0.9997850843153195,0.999839665683031,1.0,0.23809398272431112,-0.2579115504706387,1.0,0.13520161751477175,-0.1660070096198737,0.9890959162368637,0.09724879003933343,-0.13785943200820885,0.9621015459986011,0.07703724678165252,-0.12318437771682322,0.9256359265991452,0.0656839117133,-0.1130587460988978,0.8843824697717393,0.058728606143023,-0.10513706661436023,0.841558135780445,0.05405346667890277,-0.09860189898641618,0.7991537294944864,0.05066554117975351,-0.09306983455786191,0.7582132807763029,0.04807621862243426,-0.08831202590442594,0.719157190671474,0.0,-0.08417012731708186,0.6820647501962098,0.0,-0.08052602824520975,0.6468705299799534,0.0,-0.07728851853494806,0.6134764930322772,0.0,-0.07438607228985267,0.5818024267237292,0.0,-0.07176221811748612,0.5517990069536983,0.0,-0.0693722186313203,0.5234422142981747,0.0,-0.06718054223269684,0.49672121031322597,0.0,-0.06515888537259255,0.4716263869422764,0.0,-0.06328461063110806,0.44814055830505506,0.0,-0.06153951200319437,0.4262339834138448
data_magnitude_exp_1,0.23801100078980905,0.23819059856411992,0.23792734764635512,0.23805940333019815,0.23809398272431112,1.0,-0.014697859071740255,0.23809398272431112,0.9079998383587726,-0.008490827270255017,0.2863769316470252,0.7817566051540958,-0.006904380225071695,0.3369996119420462,0.6894750480709926,-0.006121439422557825,0.3887117500442189,0.6273735503632656,-0.005596055800655217,0.44029218948430554,0.583659325092224,-0.005190905224229103,0.4908321637893484,0.5509764110156108,-0.004859434603225524,0.5397432218786576,0.5253911369946445,-0.0045803741246533665,0.5866373608766268,0.0,-0.004341325707401262,0.6312168169908633,0.0,-0.0041338702585768635,0.6732207861670487,0.0,-0.0039518137043915305,0.7124193585992743,0.0,-0.003790419422169415,0.7486299948370801,0.0,-0.00364599889008833,0.7817367933681666,0.0,-0.003515654513239331,0.8117019924659153,0.0,-0.0033970991331324935,0.8385666271567113,0.0,-0.0032885211122901333,0.8624417934000305,0.0,-0.0031884802817265683,0.8834939399009496,0.0,-0.003095826619986905,0.9019278145168742,,-0.003009636452574269,0.9179699421541749
data_magnitude_exp_inv_1,-0.25793605527153307,-0.25728498690173085,-0.2583703454270036,-0.25787102960705327,-0.2579115504706387,-0.014697859071740255,1.0,-0.2579115504706387,-0.007819265868721543,0.9374570780092041,-0.18915111915660207,-0.0055417012700777115,0.871811026714624,-0.1441163687731784,-0.004354573145090025,0.8189937001538001,-0.11496436364755583,-0.0036946781794919416,0.7737271854121875,-0.09570719722391034,-0.003293724156810979,0.7339240771002566,-0.08244018613336664,-0.0030259923775060047,0.6986591156041436,-0.07280778442979237,-0.0028329334635774587,0.6673110874407074,-0.06543563256401652,-0.002685902900988403,0.6393490025418191,-0.0595246208748464,-0.0,0.6142936543777535,-0.05460251641178694,-0.0,0.5917179528072054,-0.05038273016647508,-0.0,0.5712507668632231,-0.04668612083435257,-0.0,0.5525769827277329,-0.04339746002621234,-0.0,0.5354338322232354,-0.04044053188415664,-0.0,0.5196050044525967,-0.03776336242782113,-0.0,0.5049139078091175,-0.035329160589586774,-0.0,0.49121699360849863,-0.03311064468207247,-0.0,0.47839764914927213,-0.03108647236840747,-0.0,0.4663608869915648,-0.02923901885631272
data_magnitude_exp_2,0.13520648489523068,0.13531965699974147,0.13498356541787698,0.13519075077670606,0.13520161751477175,0.9079998383587726,-0.007819265868721543,0.13520161751477175,1.0,-0.004517122864050642,0.16617320894158247,0.9657694367589013,-0.00367313252064988,0.20003610752640455,0.9131647877663488,-0.0032566077595304853,0.23606882894485037,0.8669464054107293,-0.0029771035021392963,0.2734666596800076,0.8286393172117515,-0.0027615632639773928,0.31154896457309084,0.7966843231023939,-0.002585220786018359,0.3498008388636688,0.0,-0.0024367605208453864,0.3878218280317109,0.0,-0.0023095866852815786,0.4252663514770411,0.0,-0.002199220319176061,0.4618125531091496,0.0,-0.002102366173262292,0.4971596443628989,0.0,-0.0020165043627391166,0.5310408437420575,0.0,-0.0019396725927999018,0.5632395046075152,0.0,-0.0018703293420131144,0.5936007274458788,0.0,-0.0018072578413192084,0.6220354134267517,0.0,-0.001749494298992247,0.6485169889596148,0.0,-0.001696272544664675,0.6730727703826096,,-0.0016469807665487907,0.6957724480601306,,-0.0016011275695126405,0.7167158964296299
data_magnitude_exp_inv_2,-0.16604089646253553,-0.16565340183123856,-0.16622040895931353,-0.16599015831639158,-0.1660070096198737,-0.008490827270255017,0.9374570780092041,-0.1660070096198737,-0.004517122864050642,1.0,-0.1171436947717131,-0.0032013933190618194,0.9839684381941278,-0.08671227542059545,-0.002515599577557514,0.9546222105437385,-0.06787720741590879,-0.002134383912688867,0.9218660123268066,-0.05589381133111516,-0.0019027562108493647,0.888956325919016,-0.047871485918900634,-0.0017480898569995794,0.8573317246747496,-0.04216043783720484,-0.0016365613773662098,0.8276092010075486,-0.037842220933411753,-0.0015516230817368087,0.799976113103682,-0.03440344539451077,-0.0,0.7743952191488096,-0.031550228634671065,-0.0,0.7507216270053406,-0.029108505755242885,-0.0,0.7287695378228198,-0.0269713622393778,-0.0,0.7083486638705564,-0.02507084679681859,-0.0,0.6892824032504379,-0.02336236683228785,-0.0,0.6714153855538884,-0.02181566638090488,-0.0,0.6546151329440075,-0.020409395932545808,-0.0,0.6387707123057405,-0.0191277551214027,-0.0,0.623790060654288,-0.017958397780631578,-0.0,0.6095969240296438,-0.016891135007189084
data_magnitude_pow_2,0.9888342619703872,0.9890034707178941,0.9888416975221958,0.9889440499954578,0.9890959162368637,0.2863769316470252,-0.18915111915660207,0.9890959162368637,0.16617320894158247,-0.1171436947717131,1.0,0.12017066356647604,-0.09642905764405325,0.9914751268088394,0.0954819993766793,-0.08587130375119087,0.9698267131795196,0.08155915919244631,-0.07867305447597554,0.9399589792483725,0.07300316158521865,-0.07307708395381027,0.9055660396399648,0.06723771177882779,-0.0684777084206696,0.8691849271905747,0.06305187269639424,-0.0645939573441064,0.832365515301249,0.05984845640243699,-0.061259854607294155,0.7959493134427269,0.0,-0.058361516461147483,0.7603483649971875,0.0,-0.05581452373963012,0.7257557425140001,0.0,-0.05355397506412411,0.6922752880282631,0.0,-0.051529137928948344,0.6599869883988354,0.0,-0.049700049725952176,0.6289707994536794,0.0,-0.048035104357166715,0.599308190642081,0.0,-0.046509230350023,0.571074629928809,0.0,-0.045102475008848925,0.5443307340043437,0.0,-0.04379889164541493,0.5191157623877658,0.0,-0.04258566299308773,0.49544455640934676
