,open,high,low,close,week_days,week_days_exp_1,week_days_exp_inv_1,week_days_pow_1,week_days_exp_2,week_days_exp_inv_2,week_days_pow_2,week_days_exp_3,week_days_exp_inv_3,week_days_pow_3,week_days_exp_4,week_days_exp_inv_4,week_days_pow_4,week_days_exp_5,week_days_exp_inv_5,week_days_pow_5,week_days_exp_6,week_days_exp_inv_6,week_days_pow_6,week_days_exp_7,week_days_exp_inv_7,week_days_pow_7,week_days_exp_8,week_days_exp_inv_8,week_days_pow_8,week_days_exp_9,week_days_exp_inv_9,week_days_pow_9,week_days_exp_10,week_days_exp_inv_10,week_days_pow_10,week_days_exp_11,week_days_exp_inv_11,week_days_pow_11,week_days_exp_12,week_days_exp_inv_12,week_days_pow_12,week_days_exp_13,week_days_exp_inv_13,week_days_pow_13,week_days_exp_14,week_days_exp_inv_14,week_days_pow_14,week_days_exp_15,week_days_exp_inv_15,week_days_pow_15,week_days_exp_16,week_days_exp_inv_16,week_days_pow_16,week_days_exp_17,week_days_exp_inv_17,week_days_pow_17,week_days_exp_18,week_days_exp_inv_18,week_days_pow_18,week_days_exp_19,week_days_exp_inv_19,week_days_pow_19
open,1.0,0.9995414639387189,0.9995313494660424,0.9992983611046202,0.01288254970766313,0.018821426125771798,-0.008515932206074437,0.01288254970766313,0.016880911235573007,-0.006413802181697837,0.014267050592005628,0.009564638709185665,-0.005655106136105457,0.015375855148711563,0.006914196699861933,-0.005383842308287398,0.01648287956031971,0.005992107286495975,-0.005285370589335575,0.01771211690578197,0.005660519269632003,-0.0052493354916005016,0.01904088189468664,0.005539570085151084,-0.005236105289898243,0.020305578784415558,0.005495215349540564,-0.005231241767562943,0.021218783940596696,0.00547891708897346,-0.00522945306586031,0.02147415352640416,0.005472923855973952,-0.005228795105413864,0.020936512604884293,0.005470719415466409,-0.0052285530642466604,0.019742302815070497,0.005469908494043249,-0.005228464023489276,0.0181879837581634,0.005469610179073125,-0.005228431267389037,0.01654923327019297,0.0054695004359872675,-0.0052284192171157765,0.014997084263653138,0.005469460063879558,-0.005228414784070971,0.013607851632468766,0.005469445211825854,-0.005228413153245054,0.012400528689092827,0.005469439748063586,-0.005228412553298112,0.011366653771219122,0.005469437738057052,-0.005228412332589797,0.010487348495261164,0.00546943699861804,-0.005228412251395636,0.009741502591168998
high,0.9995414639387189,1.0,0.9992565558296085,0.9996780459231364,0.01238419644530517,0.018468704139603435,-0.0080278546434003,0.01238419644530517,0.016659407425677505,-0.005996768502013364,0.013812514407712837,0.009407985206362763,-0.0052734692173189365,0.014971340147971255,0.006770768943036934,-0.005016173550628321,0.016120810105743347,0.005851959450560979,-0.004922948877893706,0.017381774432932928,0.005521378212213327,-0.004888857710296762,0.018732924527389654,0.005400773354785474,-0.004876344435998874,0.02001373144127184,0.00535654181902144,-0.004871744896916293,0.020940463976473967,0.005340288414157269,-0.004870053341630499,0.021210009444018775,0.005334311619587578,-0.004869431123732769,0.020688588201649514,0.005332113217912959,-0.004869202232106785,0.01951182475826515,0.005331304516898518,-0.0048691180288754216,0.017974365970450972,0.005331007018615031,-0.004869087052412396,0.016350485826410945,0.005330897575950284,-0.0048690756568325316,0.014810669572896888,0.005330857314358447,-0.004869071464636153,0.013431303795736114,0.005330842502960819,-0.004869069922413476,0.012231731676665877,0.0053308370541550925,-0.004869069355061745,0.011203902097121432,0.005330835049650795,-0.004869069146344613,0.010329310303329148,0.005330834312235862,-0.004869069069561953,0.009587152900256062
low,0.9995313494660424,0.9992565558296085,1.0,0.9996132370541567,0.012898533905801464,0.018539270492292193,-0.008847523907811126,0.012898533905801464,0.016730139082458517,-0.0068537162510775955,0.014154799484326824,0.009626109233658078,-0.006123762185600023,0.015176648188079732,0.007054760795724337,-0.005861054796147336,0.01622630180934322,0.006161348013048551,-0.005765435865922547,0.01741552324189854,0.005840257428800701,-0.005730409318914076,0.01871568662536228,0.0057231633110828625,-0.005717544553753708,0.019963068727182,0.005680225879592107,-0.0057128147092681695,0.02087378490593804,0.005664448895491407,-0.00571107508209407,0.021145096426991895,0.0056586474130985035,-0.005710435161238771,0.020641372383666486,0.005656513511493967,-0.0057101997545822795,0.019493477090565592,0.00565572853958496,-0.005710113154269959,0.017990349639840073,0.005655439770867282,-0.005710081295924811,0.016401777411520765,0.005655333539646,-0.005710069575912512,0.014895615207025181,0.00565529445948036,-0.00571006526436332,0.0135470449871288,0.005655280082705341,-0.005710063678232981,0.012375029914324487,0.0056552747937884465,-0.005710063094728633,0.011371546481139671,0.005655272848103851,-0.005710062880069239,0.010518297225639269,0.005655272132327593,-0.005710062801100326,0.009794753718498304
close,0.9992983611046202,0.9996780459231364,0.9996132370541567,1.0,0.012346052082279995,0.018213914901732072,-0.008104087695672679,0.012346052082279995,0.016396582083479463,-0.006075161100750344,0.01370853719295979,0.009247801760856718,-0.005342725281933768,0.014809028046788934,0.006645057065582859,-0.005080694575422418,0.015910292804461688,0.005737520697871477,-0.004985546930293859,0.017131292607298718,0.005410879637856451,-0.0049507242031024,0.0184490162969106,0.005291695854583334,-0.004937938556768615,0.01970327723810458,0.00524798323877895,-0.00493323837932892,0.020612899994493495,0.005231920210283136,-0.004931509741998356,0.020877875130340513,0.005226013380369483,-0.004930873874361151,0.020365122925079297,0.005223840707657154,-0.00493063996019166,0.019207161455996213,0.005223041470500162,-0.004930553909122914,0.01769355720948049,0.00522274745359949,-0.004930522252858724,0.016094227807508278,0.005222639291640184,-0.00493051060719126,0.014577126835350722,0.005222599501190246,-0.00493050632299251,0.013217631120984678,0.0052225848631156785,-0.004930504746923896,0.012034946455884845,0.005222579478071885,-0.004930504167121008,0.011021273060537752,0.005222577497024185,-0.004930503953823334,0.010158482395325677,0.00522257676823852,-0.004930503875355435,0.009426151982948681
week_days,0.01288254970766313,0.01238419644530517,0.012898533905801464,0.012346052082279995,1.0,0.8435806963065837,-0.8849230472078443,1.0,0.3271369825246023,-0.776446922669143,0.9804597613336353,0.09537943122138606,-0.7319769326838902,0.9400609337362109,0.060341527572904625,-0.7153840286154263,0.8949471723208866,0.054961083646170764,-0.7092630389935882,0.8487315059907328,0.053983320312284026,-0.7070095716642183,0.798827718981044,0.05375811841887528,-0.7061803663864364,0.7399909129041908,0.05369341699054859,-0.7058752928773998,0.6672363741896914,0.05367206754005199,-0.7057630591573734,0.5798910537928351,0.05366454533195621,-0.7057217702156652,0.4843560131624784,0.05366182296541305,-0.7057065808003323,0.3914441017284891,0.05366082753880996,-0.7057009929181933,0.31019799653365837,0.0536604621641205,-0.705698937250081,0.24451198661709717,0.053660327861558756,-0.7056981810119649,0.19401580054677678,0.05366027846947767,-0.7056979028074671,0.15632424501389697,0.05366026030117237,-0.7056978004617036,0.12863814229654666,0.05366025361771728,-0.705697762810784,0.10846455275111373,0.05366025115903332,-0.7056977489598162,0.09381527450296209,0.05366025025455276,-0.7056977438644266,0.08318527366564174
week_days_exp_1,0.018821426125771798,0.018468704139603435,0.018539270492292193,0.018213914901732072,0.8435806963065837,1.0,-0.5677781278259544,0.8435806963065837,0.6576336678026257,-0.4425451208920382,0.9182560593216549,0.39880515134789707,-0.4012952938983232,0.9597562046306293,0.3526576018821427,-0.38706876657096684,0.9824341082678507,0.34436571108701247,-0.3819669645359424,0.9940394429688435,0.3425131292737846,-0.38010787427371895,0.9957439119148161,0.34199394251695603,-0.37942634721167345,0.9836792084434826,0.34182491202781434,-0.3791759508606568,0.951356234117889,0.34176570179596216,-0.3790838789351764,0.8947057739297144,0.3417443218440523,-0.37905001348533707,0.8176045595068072,0.3417365110401113,-0.37903755588348303,0.7315942510779742,0.3417336449735528,-0.37903297309625117,0.649167943902289,0.34173259160367486,-0.3790312871977312,0.5780932368090926,0.34173220422551315,-0.3790306669923015,0.5207956202469268,0.3417320617353838,-0.37903043883176507,0.47642476319395954,0.34173200931854675,-0.379030354896208,0.4428393482443021,0.34173199003590327,-0.3790303240180549,0.4177246423227991,0.34173198294217216,-0.3790303126586546,0.3990497909893058,0.3417319803326002,-0.37903030847971597,0.38518518851277167
week_days_exp_inv_1,-0.008515932206074437,-0.0080278546434003,-0.008847523907811126,-0.008104087695672679,-0.8849230472078443,-0.5677781278259544,1.0,-0.8849230472078443,-0.1816896343268553,0.9765107638492468,-0.780462531006588,-0.03986388211827735,0.9562642109395043,-0.6879647332775181,-0.019790980472646887,0.9473511040738887,-0.6147134978233514,-0.016868807534168806,0.9438809041808734,-0.5557127612185552,-0.016376441338039508,0.9425787419027694,-0.5038716382023267,-0.016272982346881383,0.9420962619539086,-0.4527045394413507,-0.016245373889026464,0.9419183025769614,-0.3974711130774173,-0.016236628829722023,0.9418527720996779,-0.33696111542971124,-0.01623360258178879,0.9418286562763628,-0.27453017335116103,-0.01623251511268675,0.9418197834092653,-0.2160644826981184,-0.016232118549863228,0.9418165191081169,-0.16623774556781504,-0.016231973135491923,0.9418153182177559,-0.12669409127022155,-0.01623191970453772,0.9418148764320627,-0.09672063007588685,-0.016231900057048627,0.941814713907763,-0.07459781787910118,-0.016231892830316653,0.9418146541184373,-0.058499101111604966,-0.016231890171905152,0.9418146321230992,-0.04686395564177993,-0.016231889193953214,0.9418146240314641,-0.038477466308739494,-0.016231888834187663,0.9418146210548077,-0.032434824224047906
week_days_exp_2,0.016880911235573007,0.016659407425677505,0.016730139082458517,0.016396582083479463,0.3271369825246023,0.6576336678026257,-0.1816896343268553,0.3271369825246023,1.0,-0.13441964987858307,0.38982810486265385,0.9480706835888673,-0.12037210660072585,0.4486646864479113,0.9275926923503236,-0.11568736382976179,0.5100164676085477,0.9225963039832569,-0.11402601526872506,0.5792965429785468,0.9211557963155105,-0.11342297259791115,0.6590752575522251,0.9206807362586186,-0.11320221108322119,0.747380754825819,0.9205134212010576,-0.1131211435708575,0.8360787045190125,0.9204528782732073,-0.11309134023338244,0.9123239813921052,0.9204307423278721,-0.11308037886690389,0.9651463778760632,0.9204226174499508,-0.11307634676658848,0.99217986493778,0.9204196309756333,-0.11307486348864919,0.9992505239142516,0.9204185326517118,-0.11307431782778421,0.9947142765455557,0.9204181286465158,-0.11307411709128057,0.9851857256476738,0.9204179800278136,-0.11307404324457536,0.9745635922092354,0.9204179253546032,-0.11307401607788985,0.9646961975142366,0.9204179052418292,-0.11307400608382565,0.9562496311798502,0.9204178978424539,-0.11307400240722826,0.9493126845130281,0.9204178951205666,-0.11307400105466683,0.9437351328563115
week_days_exp_inv_2,-0.006413802181697837,-0.005996768502013364,-0.0068537162510775955,-0.006075161100750344,-0.776446922669143,-0.4425451208920382,0.9765107638492468,-0.776446922669143,-0.13441964987858307,1.0,-0.6509116183079728,-0.028620954669610506,0.9966572990239712,-0.5515704074100284,-0.013878557507995232,0.9937355487873888,-0.4793839541455443,-0.011748000133071812,0.9924307695833868,-0.4253321943980593,-0.011391785755988275,0.9919196196509517,-0.38076288624371246,-0.011317637636596708,0.9917273610977742,-0.3390406935855276,-0.011298011289816673,0.9916560623433526,-0.2957217767351171,-0.011291824204428707,0.9916297557462487,-0.24943308528443855,-0.011289687788814283,0.9916200676349678,-0.20238016658543787,-0.011288920743817281,0.9916165021630992,-0.15870886201515105,-0.011288641121047433,0.9916151903078184,-0.12170244780179731,-0.011288538599658537,0.9916147076773,-0.09244752912329689,-0.01128850093098446,0.9916145301239315,-0.07033529932044344,-0.011288487079795049,0.9916144648053182,-0.05404971116265231,-0.011288481985080244,0.9916144407757335,-0.042218827126754226,-0.011288480110960265,0.9916144319358018,-0.033680070897728995,-0.011288479421523404,0.9916144286837546,-0.027532654888599073,-0.011288479167897705,0.9916144274874349,-0.023107873088978992
week_days_pow_2,0.014267050592005628,0.013812514407712837,0.014154799484326824,0.01370853719295979,0.9804597613336353,0.9182560593216549,-0.780462531006588,0.9804597613336353,0.38982810486265385,-0.6509116183079728,1.0,0.13134257242077446,-0.6025492859777654,0.9882304934687483,0.09108358827359112,-0.5850908677315247,0.9625372750841211,0.08472741102352666,-0.5787273412829737,0.9292078055563648,0.08352602690288786,-0.5763948216250655,0.8874478737206971,0.08323714527664597,-0.5755379054672433,0.8327151089947242,0.08315154457144967,-0.575222822912569,0.7600301282842391,0.0831228492872267,-0.5751069321213799,0.6687504237901843,0.08311267108864608,-0.5750643012078507,0.5660660015347575,0.08310897791748395,-0.5750486185672128,0.4643662620822677,0.08310762620173597,-0.5750428492997731,0.3743204699257085,0.08310712987063289,-0.5750407269121715,0.30086029040272727,0.08310694740745155,-0.5750399461304159,0.24399803838350498,0.08310688030020127,-0.5750396588969616,0.2013205143442487,0.08310685561511406,-0.5750395532297085,0.16982674271880577,0.08310684653431258,-0.575039514356932,0.14678478875348863,0.0831068431937027,-0.5750395000563985,0.12998905375700306,0.08310684196477107,-0.5750394947954879,0.11775644973296163
