,open,high,low,close,quantity,quantity,quantity_exp_1,quantity_exp_1,quantity_exp_inv_1,quantity_exp_inv_1,quantity_pow_1,quantity_pow_1,quantity_exp_2,quantity_exp_2,quantity_exp_inv_2,quantity_exp_inv_2,quantity_pow_2,quantity_pow_2,quantity_exp_3,quantity_exp_3,quantity_exp_inv_3,quantity_exp_inv_3,quantity_pow_3,quantity_pow_3,quantity_exp_4,quantity_exp_4,quantity_exp_inv_4,quantity_exp_inv_4,quantity_pow_4,quantity_pow_4,quantity_exp_5,quantity_exp_5,quantity_exp_inv_5,quantity_exp_inv_5,quantity_pow_5,quantity_pow_5,quantity_exp_6,quantity_exp_6,quantity_exp_inv_6,quantity_exp_inv_6,quantity_pow_6,quantity_pow_6,quantity_exp_7,quantity_exp_7,quantity_exp_inv_7,quantity_exp_inv_7,quantity_pow_7,quantity_pow_7,quantity_exp_8,quantity_exp_8,quantity_exp_inv_8,quantity_exp_inv_8,quantity_pow_8,quantity_pow_8,quantity_exp_9,quantity_exp_9,quantity_exp_inv_9,quantity_exp_inv_9,quantity_pow_9,quantity_pow_9,quantity_exp_10,quantity_exp_10,quantity_exp_inv_10,quantity_exp_inv_10,quantity_pow_10,quantity_pow_10,quantity_exp_11,quantity_exp_11,quantity_exp_inv_11,quantity_exp_inv_11,quantity_pow_11,quantity_pow_11,quantity_exp_12,quantity_exp_12,quantity_exp_inv_12,quantity_exp_inv_12,quantity_pow_12,quantity_pow_12,quantity_exp_13,quantity_exp_13,quantity_exp_inv_13,quantity_exp_inv_13,quantity_pow_13,quantity_pow_13,quantity_exp_14,quantity_exp_14,quantity_exp_inv_14,quantity_exp_inv_14,quantity_pow_14,quantity_pow_14,quantity_exp_15,quantity_exp_15,quantity_exp_inv_15,quantity_exp_inv_15,quantity_pow_15,quantity_pow_15,quantity_exp_16,quantity_exp_16,quantity_exp_inv_16,quantity_exp_inv_16,quantity_pow_16,quantity_pow_16,quantity_exp_17,quantity_exp_17,quantity_exp_inv_17,quantity_exp_inv_17,quantity_pow_17,quantity_pow_17,quantity_exp_18,quantity_exp_18,quantity_exp_inv_18,quantity_exp_inv_18,quantity_pow_18,quantity_pow_18,quantity_exp_19,quantity_exp_19,quantity_exp_inv_19,quantity_exp_inv_19,quantity_pow_19,quantity_pow_19
open,1.0,0.9995414639387166,0.9995313494660408,0.9992983611046194,0.0250841400790563,-0.004077012244728874,0.02152229534580476,-0.0014921675827297637,-0.0283740414303264,0.005739835329969572,0.0250841400790563,-0.004077012244728874,0.017767520204077347,0.0016068424692413969,-0.03138899383617263,0.006103251480242457,0.0015999260526115327,0.010395880916703482,0.014112092962443184,0.0045163501792319215,-0.034146394844128694,0.005004274255109585,0.004543368673019789,0.005800797790928469,0.011104375296113161,0.006467167998903654,-0.03667000738779829,0.002948386508144657,0.006006042011465394,0.004137407234190058,0.009153078143935562,0.007441305076871049,-0.03898547133864835,0.0008477894451658023,0.006821654787241043,0.008389549794793508,0.008170238037302316,0.007888601996984325,-0.04111787888721755,-0.0007339206376905429,0.0072487659071224465,0.005920587608943263,0.007800625226542282,0.008124450323900745,-0.04309038408139977,-0.0017170540265731293,0.007510393051823686,0.008877542947972225,0.007736621706903175,0.008276566921147062,-0.04492356898084341,-0.0022338942396531052,0.007703625096220822,0.007131626279271542,0.0077990544479438675,0.008386884642961811,-0.04663530268449404,-0.0024410202276411866,0.007863861647106007,0.00890789598636617,0.007902295791349679,0.00846950359378861,-0.04824087481465514,-0.0024595635929612323,0.008002325903823418,0.007829998246685446,0.008010559236731676,0.008531064443394682,-0.04975325703658433,-0.0023704463898236374,0.00812229384615423,0.008851210188087157,0.00811083439424735,0.008576285087721583,-0.051183406478897894,-0.0022240273214022663,0.008225090512933325,0.00822216681671689,0.008199477009147187,0.008609063554505485,-0.05254056514711839,-0.0020503915574659843,0.00831195097466415,0.008792119918871596,0.008276323261622913,0.00863258930135339,-0.05383253351622436,-0.0018670268272681328,0.008384395013890251,0.008439360734059992,0.008342331394288657,0.008649363250085189,-0.055065909996810714,-0.001683865091379328,0.008444151464796393,0.008748253106081611,0.008398718464768985,0.008661274521666262,-0.05624629511310629,-0.0015063925033523301,0.008493000774979274,0.008558588077334523,0.00844667890231229,0.008669712824686659,-0.05737846272085656,-0.001337503236965293,0.008532647356924833,0.008719719460171324,0.008487309113229658,0.008675683049505677,-0.0584665020559915,-0.0011785849562932587,0.00856464183101122,0.008623472452101197,0.008521596183403398,0.008679904219120264,-0.05951393478580407,-0.0010301501259465649,0.008590345190782944,0.008702652166523194
high,0.9995414639387166,1.0,0.9992565558296067,0.9996780459231356,0.03949525549215783,0.0060244461581749845,0.034972932548634664,0.00899965895243522,-0.04329243457594336,-0.003123749111487987,0.03949525549215783,0.0060244461581749845,0.02956901584280909,0.011289646020323835,-0.04654781089907062,-0.0009117971798544397,0.008993961547485326,0.015416992194073404,0.02349887191077858,0.012062713976156839,-0.04939196727295813,0.00013744944704435384,0.008144276616057183,0.007582971240799374,0.01771574524112616,0.011347302457509006,-0.051913136564459436,3.063542224671908e-05,0.007676226882879929,0.004908145771661879,0.013323317928563493,0.010178170990166286,-0.054173778298790866,-0.0006890542178899946,0.007566858008292559,0.008537476559393839,0.010600461486072722,0.009279832973241474,-0.056220491455457294,-0.001461139639303495,0.007535562251935751,0.005927482345711755,0.009135874739974603,0.008760622507511702,-0.05808931397123745,-0.002023500563349505,0.0075610501017638046,0.00872592163737121,0.008422640276151748,0.00850754185421986,-0.05980872039266794,-0.0023378298321075973,0.0076284957316218914,0.006972593596560677,0.00810841339077077,0.008403496984932137,-0.061401500113682256,-0.002453187342063855,0.0077199910250756645,0.008692645936499451,0.007993504209334073,0.008372719543706138,-0.06288604686743754,-0.0024328679838443844,0.00782020951690655,0.007626771199173672,0.007974336058269652,0.00837386331417145,-0.06427730129647644,-0.002329055825306885,0.007918663211676816,0.008621887410654517,0.00799917338486072,0.00838654100326681,-0.06558746633661214,-0.0021785031609476294,0.008009301187740884,0.008004554392465535,0.008042489416276694,0.008401568554370816,-0.06682656181170826,-0.0020050838710930843,0.008089301724488955,0.008560077246875922,0.008091706901331262,0.008415286032077973,-0.068002859460314,-0.0018235476494287046,0.00815790934603838,0.008215987924057833,0.00814065846243139,0.008426573190998606,-0.06912322643772248,-0.0016426697171557918,0.008215558851613028,0.008516108713727502,0.008186405671082017,0.008435380687792886,-0.0701933976243369,-0.0014674782426927682,0.008263287908095183,0.008332454895263715,0.008227677383763026,0.008442046239365546,-0.07121819207376083,-0.0013007075440404185,0.00830237242805265,0.008487985995397107,0.008264081992592374,0.008446995876277803,-0.07220168542997267,-0.0011437064302689812,0.008334115576961648,0.008395838662829464,0.008295694318565668,0.008450625867497563,-0.07314734755121437,-0.0009969935549655328,0.00835973588420105,0.008471341344352042
low,0.9995313494660408,0.9992565558296067,1.0,0.9996132370541554,0.01576278139060096,-0.010913906580546046,0.0121159906548975,-0.009589995941300953,-0.01907696472869026,0.011280335744849646,0.01576278139060096,-0.010913906580546046,0.008254870797149347,-0.007614699250028646,-0.02206745824237354,0.010275615767687969,-0.005750247111664689,0.0036033297696080034,0.004590079497183532,-0.005315162395308281,-0.024773605006352412,0.007797260872789394,-0.003184672580474538,-0.0009237394428334436,0.0017627165654317588,-0.003276108214598152,-0.02723569629031543,0.004566768054894236,-0.0019842369871019574,-0.0031423978930474415,0.00010738738591589677,-0.0018845857456778717,-0.02948898135392905,0.0016622374586623826,-0.0013263966150890171,0.0009867039198758086,-0.0006031526004501294,-0.0010518606464229641,-0.03156331910176724,-0.0003786667624678119,-0.0009843822398117158,-0.0017739078208895873,-0.0007842564362302473,-0.0005578041424346791,-0.033483831840888045,-0.0015938557734286657,-0.0007671073858402358,0.001079115739387245,-0.0007351248944905567,-0.0002513737071129341,-0.035271613058542074,-0.002218176361158015,-0.0005962062525117013,-0.0008306436732918096,-0.0006088612482958729,-5.209609998287264e-05,-0.03694434847486281,-0.0024711691628727587,-0.0004465467515222511,0.0008842064897831128,-0.00046995362322153775,8.180343204065847e-05,-0.03851685060617088,-0.002507216004792363,-0.000312464880948318,-0.00028826203637135164,-0.00034119202276564726,0.00017345543781259636,-0.0400015200786854,-0.002423421500241495,-0.00019369854848889855,0.0007022704756841566,-0.00022846966596175013,0.0002367983901363114,-0.04140874290377428,-0.0022775720568751117,-9.055648087729509e-05,1.718218911478134e-05,-0.00013173512441848055,0.0002808035272433426,-0.042747230087693024,-0.0021029689472313313,-2.6809778100851315e-06,0.0005739023443416954,-4.9267850888986516e-05,0.0003114731276937748,-0.044024305172102124,-0.0019183857927274341,7.098821726244568e-05,0.00018704172449459945,2.0859618234858403e-05,0.000332900788600148,-0.045246145374537576,-0.0017341983222356743,0.00013195122211189078,0.00049160151819215,8.038050502848438e-05,0.0003479030937293374,-0.04641798213333278,-0.001555992556762298,0.0001818858515005963,0.00028065223863598895,0.00013078118058355655,0.00035842661151579326,-0.04754426677090874,-0.0013866373950882972,0.00022246099553974746,0.0004416210498345878,0.00017333674910369423,0.0003658206994380215,-0.04862880665030051,-0.0012274609739927084,0.0002552257701031332,0.0003317624165602125,0.00020915320292844413,0.0003710232899826187,-0.04967487668709321,-0.0010789164358529788,0.00028155536830908967,0.00041250210977440195
close,0.9992983611046194,0.9996780459231356,0.9996132370541554,1.0,0.029486236949719108,-0.0010952235171635843,0.024975624191568572,0.0006711204012188409,-0.03326111266068736,0.002686870389729187,0.029486236949719108,-0.0010952235171635843,0.019629718597713657,0.0019804218892276134,-0.036477449943616666,0.0034833321662367882,0.0014689631664043313,0.008672562299466592,0.013777892968809406,0.0023594796661475874,-0.03927512956604725,0.0030972063876702053,0.0006618783270477007,0.0012265905663544718,0.008418859904298878,0.0019381137129298486,-0.04175096772703192,0.0017716739829646024,0.00010723635630935949,-0.0018211890952626762,0.004522644242364142,0.0013214918213784585,-0.043972167893357526,0.0002233273114357208,-8.685826369525002e-05,0.001632881473726702,0.0022068489868666322,0.0008788025601385895,-0.045987108767432366,-0.0010179545183143682,-0.00016934555909408242,-0.0011725729512837679,0.001011702173131373,0.0006490876043197733,-0.04783194556474891,-0.0018150362306408553,-0.00017082038815017535,0.0014558536319154744,0.00045772203118934937,0.0005618671800378156,-0.049534509578818595,-0.0022370567620776135,-0.00011631896713119291,-0.0003984843883014811,0.00023312854808919716,0.0005492324371058932,-0.05111668756138285,-0.0023982781355669724,-3.0261256460635013e-05,0.0012104404616590997,0.00016831141045445093,0.0005684223722910382,-0.052595954510270104,-0.0023959787657132003,6.837953225395302e-05,9.250600956495081e-05,0.00017777718960972774,0.0005970951284624315,-0.05398641815886397,-0.0022986062443300526,0.00016715359662286541,0.0010223491411422512,0.00021971425199893946,0.0006251924109116644,-0.05529956593276748,-0.002150206861534973,0.0002589679178089838,0.0003780267552426468,0.00027382827814475543,0.0006490381394495451,-0.056544819209707775,-0.001977704105885751,0.00034045298117154813,0.0008967244215944196,0.00033027144264532993,0.0006679112599740854,-0.05772995544802664,-0.0017969942820299208,0.00041057249371751804,0.000538485101037197,0.0003843153140002983,0.0006822782819094942,-0.05886143536077575,-0.0016171951444958782,0.0004696257004341578,0.0008181873734081418,0.0004338022947246352,0.0006929624470623934,-0.05994465943474833,-0.001443366213466641,0.0005185936845358267,0.0006270076759997434,0.0004779043590433655,0.0007007918438889786,-0.060984170601233345,-0.0012781722519287875,0.0005587379674274379,0.0007713234529537894,0.0005164959655102001,0.0007064744092542015,-0.06198381521920789,-0.0011228750951818756,0.0005913688714488126,0.0006751026643489521,0.0005498217687226379,0.0007105720959102934,-0.06294687146073218,-0.000977917994007662,0.0006177220388665696,0.0007444938219211034
quantity,0.0250841400790563,0.03949525549215783,0.01576278139060096,0.029486236949719108,1.0,0.5024249530758477,0.9891811870488222,0.592852442740937,-0.9936730811435286,-0.3885160751956719,1.0,0.5024249530758477,0.9441524975907928,0.636254537459267,-0.9800739771431892,-0.26378906365631816,0.7585017515302299,0.5532749040635135,0.8490491406281319,0.6041857150361319,-0.9638273457166032,-0.14442418357702164,0.5599311561540924,0.2947284366982373,0.7134210870026907,0.5117906445886924,-0.9469611269098908,-0.05170166446030522,0.4355317241538727,0.31218468661147525,0.5752175642473184,0.41435734574077576,-0.9303502212016183,0.004914100680302294,0.36326291849916387,0.22335466334795978,0.46476286416092655,0.3427092956374102,-0.9143625347788001,0.032911361824567796,0.3198264188238895,0.25638700650307483,0.3877482558320814,0.29738318253342766,-0.8991373439778798,0.04440900237794553,0.2925171230138957,0.21335032385854216,0.3370986812862706,0.270298827908505,-0.8847078205266987,0.04806827483811616,0.27462347011466465,0.24229282503933847,0.3042222577089787,0.2543690683807466,-0.8710573167180173,0.04851820513121096,0.2624894040793024,0.21537934474919823,0.2826569938618866,0.2449695041632841,-0.8581464146280252,0.047883270770696824,0.25402825662282547,0.23770511862466276,0.268203609101356,0.23935365638108527,-0.8459264087561774,0.04702914613514774,0.2479933900451484,0.21898938545661117,0.2582685114939895,0.2359420953529398,-0.834346166631384,0.046257239374598656,0.24360921514836673,0.2355883328307457,0.2512661013591577,0.23383201503519563,-0.8233556113204817,0.04563943920573318,0.2403760594752451,0.2220691624051707,0.24621718602064963,0.23250371545835813,-0.8129074216404171,0.04516590595720442,0.23796223333413327,0.23425649489559633,0.24250445930464964,0.23165379706360534,-0.8029577721938918,0.04480521346864951,0.23614182161887484,0.22435863407168502,0.23972869725278972,0.23110199506677492,-0.7934665531469117,0.044526177420196544,0.23475750162943393,0.23327270027620753,0.23762468782380897,0.2307391645639328,-0.7843973119737297,0.04430407000711447,0.23369759716554073,0.225989351406614,0.23601161261307074,0.23049797380522785,-0.7757170530676575,0.04412107528909013,0.23288151209109792,0.23250739846343305,0.23476321937698041,0.2303361471203829,-0.76739597210534,0.043965007672692465,0.23225024667342997,0.22713653819399582
quantity,-0.004077012244728874,0.0060244461581749845,-0.010913906580546046,-0.0010952235171635843,0.5024249530758477,1.0,0.5230785890013844,0.977643391318881,-0.4778101100194625,-0.9791605474292726,0.5024249530758477,1.0,0.5297796259659387,0.8975938189779229,-0.45379982551032083,-0.9114797031631304,0.5019315070163946,0.07877576746147434,0.5095567493070303,0.7480273273014411,-0.43189838589993657,-0.7930813732296139,0.4085137376899809,0.5532766114587578,0.4604780093634516,0.5705290494811657,-0.41237034824723423,-0.6471628317931026,0.33701008633450474,0.08143802406272428,0.39949121704233037,0.42795796478848824,-0.3950597483648201,-0.5139236868006255,0.29313678575734586,0.3714458415258752,0.34529892671997486,0.33741129515247964,-0.37969871831362106,-0.4149968169665853,0.2668199075907922,0.11058507682278462,0.304916166475366,0.28548120168332375,-0.36601403076543493,-0.34918038735595525,0.250646169023175,0.3086488986569374,0.2771594385621115,0.25658626769859805,-0.35376009552940274,-0.3071927808805296,0.24036248843240687,0.13907982073304234,0.2586283849253892,0.24046051651282527,-0.34272609921308606,-0.28043505676244906,0.23360776656907678,0.2784412644284083,0.24628971091061225,0.23129738431063684,-0.33273443682794335,-0.26296926553596406,0.22904368270672748,0.16126591221308106,0.23798879206590753,0.22596280858403928,-0.3236365800988789,-0.2511065742713997,0.22588504908731935,0.2602116600527451,0.23231304608883233,0.2227760965707261,-0.31530857048389743,-0.2426478130728767,0.22365456022654662,0.17743015936467116,0.2283610582024037,0.22082496646692298,-0.30764688000509205,-0.23629802440254769,0.2220524740215672,0.24799811797792323,0.2255592151963756,0.2196035493376703,-0.3005648469392304,-0.2312928534085646,0.22088506814152595,0.18892434067117136,0.22353906970841217,0.2188240861872865,-0.2939896953655814,-0.22717631211910982,0.22002395084784937,0.2394597016058943,0.22206026716345137,0.21831848693899042,-0.28786007902719696,-0.22367212271553755,0.21938213175907373,0.1970363004947998,0.2209631328839217,0.2179860254267988,-0.2821240720366572,-0.22060972685965796,0.2188995166041389,0.23338028275019937,0.22013956384210545,0.21776491589339492,-0.2767375306067678,-0.21788154440658306,0.2185338739890261,0.20276253435798602,0.21951500918554886,0.21761646724580266,-0.2716627585737287,-0.21541802349738198,0.21825507271397776,0.2290111684352568
quantity_exp_1,0.02152229534580476,0.034972932548634664,0.0121159906548975,0.024975624191568572,0.9891811870488222,0.5230785890013844,1.0,0.6278917854975602,-0.9667713576670539,-0.4010707394938192,0.9891811870488222,0.5230785890013844,0.9819610100500991,0.6920314892377123,-0.9414606122579402,-0.2726231836240207,0.8453635599305405,0.6087219581910182,0.9153055840640323,0.6816234551995629,-0.9166430205697199,-0.15196748336000815,0.6721616530022417,0.38093568115816495,0.8025242379447265,0.6036502894674831,-0.893413194757833,-0.05883184341052294,0.5512564846619356,0.39468803623451426,0.6774574901384723,0.5121401531272617,-0.8719991072547036,-0.0018620165589437513,0.47633157863451087,0.3140070257343881,0.5720887540674099,0.4417485815288668,-0.8523297812910271,0.026592623754610408,0.42929219481354525,0.34384614704401206,0.4956960764244684,0.3959901820347511,-0.8342452154206977,0.03857122078187642,0.3987744392043095,0.3056521267580377,0.4437892763860752,0.3680854606350878,-0.8175712331471287,0.04265726955183492,0.37830457872069195,0.33250593852953014,0.40910412058776213,0.3513878273179272,-0.8021446801264913,0.043449855410926115,0.3641716274585796,0.3088923260525144,0.3857481613387102,0.34138203622652097,-0.7878205136909244,0.04307514799502224,0.3541762745693617,0.3296917557032196,0.3697247590279803,0.33531986943885134,-0.7744724016309594,0.04241337779002427,0.3469658921361408,0.31325215779088406,0.35848423465593143,0.33159061910636917,-0.761991143856825,0.04178268684918318,0.34167932317384153,0.32868520001354545,0.35042347715184174,0.3292582540775063,-0.7502825246978524,0.041269435410789944,0.33775122741765734,0.31674374150351886,0.3445267430665264,0.32777574156333505,-0.7392651832024162,0.040874859421442276,0.3348003712857875,0.32803605831242066,0.3401383122518871,0.32681923088860626,-0.72886869794786,0.04057546962938772,0.33256359238493605,0.31923956078926846,0.33682481126027,0.326193822163928,-0.7190319327012499,0.04034555445538664,0.330855503245301,0.3274707591024824,0.3342926641517376,0.32578013202708295,-0.7097016332268293,0.04016407442659769,0.32954318590214093,0.32096266694071557,0.3323382269869613,0.32550374779566205,-0.7008312468826436,0.04001566781935222,0.3285298827650148,0.3269635673683606,0.33081715069993806,0.32531752238979633,-0.6923799328270477,0.039889773092834445,0.32774423462644536,0.3221429906280731
quantity_exp_1,-0.0014921675827297637,0.00899965895243522,-0.009589995941300953,0.0006711204012188409,0.592852442740937,0.977643391318881,0.6278917854975602,1.0,-0.5569964100515575,-0.9180053148749014,0.592852442740937,0.977643391318881,0.6511094965055696,0.9682905532371019,-0.5244618513217703,-0.8187046376158128,0.6356020513734197,0.2821148348571455,0.6457816111592068,0.860595507305397,-0.496043171492553,-0.6796803381945614,0.5507763174919906,0.6034242643402898,0.6053789501008224,0.7067114038810555,-0.47141624079901334,-0.5265059022830842,0.47873817432314236,0.26466446937516924,0.5462183982216834,0.5712274991630317,-0.4500105834130191,-0.395797680193758,0.4325709300053472,0.4485128631664879,0.49007071038040884,0.48012136826168295,-0.43127967303642656,-0.3032908915724608,0.4041175030520042,0.2754388077809527,0.4467575607346629,0.42562331700424494,-0.41476321812431766,-0.24410444540475265,0.38630388029482077,0.40218752486527704,0.41634771029204753,0.39423011103466477,-0.40008777577233057,-0.20766334994844468,0.3748325332980045,0.29394959800851717,0.3957468791315557,0.37617515143768865,-0.38695288660824767,-0.18522538198103977,0.36723298430437534,0.38344738039860526,0.38188069953818293,0.3656412873143514,-0.37511635713446884,-0.17107056526530476,0.3620694662336748,0.3097115046242013,0.3724739395382517,0.3593664446617146,-0.3643819046792727,-0.16177415416815455,0.35848382561279957,0.37319493359560735,0.3660003830270213,0.35554408265591386,-0.35458942848280256,-0.15535429927914712,0.35594714157301977,0.32133293340008784,0.3614708017124816,0.3531652222975941,-0.3456074781360449,-0.15067382298942303,0.3541238423417595,0.36649344719106236,0.35824813071838446,0.3516558778686497,-0.3373274286770303,-0.14707679027465945,0.35279541167813977,0.3295171753123359,0.35591913270578057,0.350682041887583,-0.3296589550852602,-0.1441798053402781,0.35181623310253685,0.36176298385379746,0.35421199281863086,0.3500447035007423,-0.3225264946644568,-0.14175467178574352,0.3510872657199838,0.33520072924346833,0.35294486570955225,0.34962256466501024,-0.3158664641034363,-0.13966264619917915,0.3505399157366526,0.3583264050225977,0.35199391602528496,0.34934014592082546,-0.309625056835403,-0.1378173497862172,0.35012590681737427,0.3391438415563137,0.3512733371756523,0.3491496109592295,-0.303756489577901,-0.1361635769119851,0.3498107738858774,0.3558045086792913
quantity_exp_inv_1,-0.0283740414303264,-0.04329243457594336,-0.01907696472869026,-0.03326111266068736,-0.9936730811435286,-0.4778101100194625,-0.9667713576670539,-0.5569964100515575,1.0,0.37150302337868246,-0.9936730811435286,-0.4778101100194625,-0.9029568456769116,-0.5862055954422869,0.9961077324108228,0.251636697662228,-0.6808339586323741,-0.5055867968731572,-0.7896611912340664,-0.5413531404588456,0.9873195377172288,0.1353934688279485,-0.471836540279347,-0.2312942902829688,-0.6412230875894371,-0.4424740007170175,0.9762523375551825,0.044744045429746394,-0.35040947477637446,-0.2543041798888742,-0.49744078501980554,-0.34417945876289147,0.9642160883710035,-0.010466932151002799,-0.2832518140652908,-0.16198188170923045,-0.38654086233870005,-0.2739672944664538,0.9518885584639526,-0.03750781469663828,-0.24424200860341347,-0.1978847041530757,-0.3114050927604726,-0.23041023076722777,0.939629234143159,-0.04835061449343548,-0.22032040053469315,-0.15233151550463048,-0.263241452340339,-0.20479424565363757,0.9276295440224203,-0.05155808416338791,-0.2049374641300169,-0.18278937419626098,-0.2327169805457946,-0.18994217051567164,0.9159884101900904,-0.05169401208183902,-0.19465527538806524,-0.15401611407982563,-0.21313610262929553,-0.18129440517159898,0.9047522669612669,-0.05083893872346428,-0.18756628011359075,-0.17731955575206318,-0.20027685455126998,-0.17619130665235236,0.8939372499765537,-0.049828459322464526,-0.18255580570968802,-0.1572858190534473,-0.19159495877883667,-0.173126163312786,0.8835419588949966,-0.04894335539202315,-0.17894256778094078,-0.17458540088408134,-0.1855694144669432,-0.17124948892316916,0.8735550011832109,-0.04824149488419493,-0.17629399116362243,-0.16014649205108078,-0.18128061063382578,-0.17007858952114524,0.8639595337688275,-0.0477036213069842,-0.1743264050192155,-0.17285471457607193,-0.17816030073732744,-0.16933511164626114,0.8547360243602202,-0.047292050439572055,-0.1728485971131042,-0.162315830724212,-0.17584776587964365,-0.16885555658745321,0.8458639320318602,-0.046971468432496215,-0.17172859915010827,-0.17162063743980457,-0.1741073896060448,-0.16854196339576424,0.8373227204225263,-0.046714430265739675,-0.17087345834403816,-0.16388833216627233,-0.17278092481745497,-0.1683344654026036,0.829092454016594,-0.0465013292655789,-0.17021654231186756,-0.17069943568226334,-0.17175931724436272,-0.1681957843374643,0.8211541323547868,-0.046318792444700045,-0.1697093573735185,-0.16501187676315748
quantity_exp_inv_1,0.005739835329969572,-0.003123749111487987,0.011280335744849646,0.002686870389729187,-0.3885160751956719,-0.9791605474292726,-0.4010707394938192,-0.9180053148749014,0.37150302337868246,1.0,-0.3885160751956719,-0.9791605474292726,-0.4010519173664187,-0.8049410462364595,0.35406560329462705,0.9746076445067527,-0.37477302050663436,0.1213050421950003,-0.37880462628188755,-0.6353946970301503,0.33773875184843916,0.892911949735172,-0.2925378184252959,-0.5483501505943117,-0.33431673475924584,-0.4546274258952156,0.32295721882361766,0.7709161957105065,-0.23164195997746034,0.08250849200953368,-0.28213447556880183,-0.31830557420606476,0.3097330747242158,0.6481496630242138,-0.194962721110406,-0.35137240464615166,-0.23698945842999578,-0.23546552032852877,0.2979331720652093,0.5511841569245088,-0.17327001496274946,0.025922739221965307,-0.20383939559783182,-0.18961141954691083,0.28738671415832545,0.4835826729728312,-0.16007827048488285,-0.27183294059990853,-0.18126039841371927,-0.1648768741231248,0.2779255648032673,0.4386769305659986,-0.15175185189285134,-0.018439811641105686,-0.1662803852511476,-0.1514545432438973,0.2693981366308001,0.40895129484891884,-0.14630810804089286,-0.22835979860187655,-0.15635288856102345,-0.14401781908197248,0.2616728462870896,0.388816137412227,-0.14263940001413908,-0.051039550980819075,-0.1496985364147707,-0.13978378940189926,0.2546375147501693,0.374638142687051,-0.1401032438890547,-0.20039151886186252,-0.14516152711384395,-0.13730251114267406,0.24819732480214576,0.3641768267710211,-0.1383124155742975,-0.07447131068637378,-0.1420090203116424,-0.13580748341307675,0.24227242103388028,0.356075988212502,-0.13702524108607161,-0.18121965557414554,-0.13977705378315572,-0.1348838351467219,0.23679559520578092,0.3495162811316068,-0.13608619017053306,-0.09114779380438102,-0.13816892923151175,-0.13430065225381616,0.23171022118519996,0.3439992559919228,-0.13539246474312008,-0.16775250552145732,-0.13699186044109027,-0.1339256049463562,0.22696848161355318,0.33921798980098766,-0.1348745221406204,-0.10298560748074864,-0.1361182205634543,-0.13368068717094253,0.22252987628835327,0.33498050150276093,-0.1344843495659267,-0.15818318430164927,-0.13546186137023597,-0.13351870662096316,0.21835998204835783,0.331164383942841,-0.13418820035402637,-0.11140244984104629,-0.13496351627726377,-0.13341044824350595,0.21442942841811605,0.32768973893301256,-0.133961978642063,-0.1513344304242236
