redCandlesBySizeTimesMagnitude,greenCandlesBySizeTimesMagnitude,redCandlesBySizeTimesMagnitude_pow_2,greenCandlesBySizeTimesMagnitude_pow_2,redCandlesBySizeTimesMagnitude_pow_3,greenCandlesBySizeTimesMagnitude_pow_3,redCandlesBySizeTimesMagnitude_pow_4,greenCandlesBySizeTimesMagnitude_pow_4,redCandlesBySizeTimesMagnitude_pow_5,greenCandlesBySizeTimesMagnitude_pow_5,redCandlesBySizeTimesMagnitude_pow_6,greenCandlesBySizeTimesMagnitude_pow_6,redCandlesBySizeTimesMagnitude_pow_7,greenCandlesBySizeTimesMagnitude_pow_7,redCandlesBySizeTimesMagnitude_pow_8,greenCandlesBySizeTimesMagnitude_pow_8,redCandlesBySizeTimesMagnitude_pow_9,greenCandlesBySizeTimesMagnitude_pow_9,redCandlesBySizeTimesMagnitude_pow_10,greenCandlesBySizeTimesMagnitude_pow_10,redCandlesBySizeTimesMagnitude_pow_11,greenCandlesBySizeTimesMagnitude_pow_11,redCandlesBySizeTimesMagnitude_pow_12,greenCandlesBySizeTimesMagnitude_pow_12,redCandlesBySizeTimesMagnitude_pow_13,greenCandlesBySizeTimesMagnitude_pow_13,redCandlesBySizeTimesMagnitude_pow_14,greenCandlesBySizeTimesMagnitude_pow_14,redCandlesBySizeTimesMagnitude_pow_15,greenCandlesBySizeTimesMagnitude_pow_15,redCandlesBySizeTimesMagnitude_pow_16,greenCandlesBySizeTimesMagnitude_pow_16,redCandlesBySizeTimesMagnitude_pow_17,redCandlesBySizeTimesMagnitude_pow_18
-130.10183811633868,0.0,16926.488281249996,0.0,-2202167.2382452907,0.0,286506005.53529346,0.0,-37274957951.51159,0.0,4849540545200.892,0.0,-630934138950347.2,0.0,8.208569120778962e+16,0.0,-1.067949930918361e+19,0.0,1.389422490286957e+21,0.0,-1.8076641990651384e+23,0.0,2.3518043499547363e+25,0.0,-3.0597406881911223e+27,0.0,3.980778876930161e+29,0.0,-5.179066490233084e+31,0.0,6.73806070106059e+33,0.0,-8.766340825474485e+35,1.140517054948532e+38
-0.0,51.88808268764611,0.0,2692.373125,-0.0,139702.07933599615,0.0,7248873.044222266,-0.0,376130123.9108539,0.0,19516670970.80097,-0.0,1012682637120.503,0.0,52546160411252.19,-0.0,2726519516337370.0,0.0,1.4147387011319434e+17,-0.0,7.340807870574733e+18,0.0,3.8090044578250516e+20,-0.0,1.9764193826523893e+22,0.0,1.0255261235253365e+24,-0.0,5.321258429582384e+25,0.0,2.7610989739650464e+27,-0.0,0.0
-0.0,51.91266102792266,0.0,2694.924375,-0.0,139900.69557526134,0.0,7262617.386969142,-0.0,377021794.5852264,0.0,19572204622.441948,-0.0,1016045224133.9698,0.0,52745611309506.48,-0.0,2738165040620973.5,0.0,1.4214543359226469e+17,-0.0,7.379147710742327e+18,0.0,3.8307119378273796e+20,-0.0,1.988624503240495e+22,0.0,1.0323478974854489e+24,-0.0,5.359192646505077e+25,0.0,2.7820995124135377e+27,-0.0,0.0
-0.0,52.0001081729644,0.0,2704.011249999999,-0.0,140608.87750091264,0.0,7311676.840126558,-0.0,380207986.6123396,0.0,19770856432.06666,-0.0,1028086673139.6154,0.0,53460618214443.09,-0.0,2779957930144592.0,0.0,1.4455811308380902e+17,-0.0,7.517037517637689e+18,0.0,3.9088676405739166e+20,-0.0,2.032615401436438e+22,0.0,1.0569622074872823e+24,-0.0,5.496214912407393e+25,0.0,2.858037699870445e+27,-0.0,0.0
-78.01904515084763,0.0,6086.971406250002,0.0,-474899.69697613735,0.0,37051220.90050512,0.0,-2890700876.3305383,0.0,225529722188.02707,0.0,-17595613578245.81,0.0,1372792970218027.2,0.0,-1.071039967262065e+17,0.0,8.356151556418142e+18,0.0,-6.519389655675128e+20,0.0,5.086365559020867e+22,0.0,-3.968333842029654e+24,0.0,3.096056171949482e+26,0.0,-2.4155134626888715e+28,0.0,1.8845605390800338e+30,0.0,-1.470316137879909e+32,1.1471266114727254e+34
-51.90032514349019,0.0,2693.64375,0.0,-139800.98644573023,0.0,7255716.651914064,0.0,-376574053.383376,0.0,19544315811.199245,0.0,-1014356345308.2971,0.0,52645424132863.04,0.0,-2732314629812537.0,0.0,1.418080176815857e+17,0.0,-7.359882225628104e+18,0.0,3.8198028052789284e+20,0.0,-1.9824900757799234e+22,0.0,1.0289187952672054e+24,0.0,-5.340122002061618e+25,0.0,2.7715406821290374e+27,0.0,-1.4384386255090766e+29,7.46554323628762e+30
-77.47539932133296,0.0,6002.437499999999,0.0,-465041.24221384345,0.0,36029255.94140624,0.0,-2791380991.3109565,0.0,216263356959.79462,0.0,-16755089939032.059,0.0,1298107283691357.0,0.0,-1.0057138016591874e+17,0.0,7.791807838652138e+18,0.0,-6.036734237346667e+20,0.0,4.6769839563519545e+22,0.0,-3.6235119963783533e+24,0.0,2.807330388650533e+26,0.0,-2.174990428876129e+28,0.0,1.6850825199725532e+30,0.0,-1.3055244112427157e+32,1.0114602508477752e+34
-128.6920379238747,0.0,16561.640625000004,0.0,-2131351.283394084,0.0,274287940.19165045,0.0,-35298674001.20535,0.0,4542658293225.609,0.0,-584603953346994.0,0.0,7.523387413457842e+16,0.0,-9.682000583287181e+18,0.0,1.2459963862433708e+21,0.0,-1.6034981419144272e+23,0.0,2.0635744369011404e+25,0.0,-2.655655996924199e+27,0.0,3.417617822689343e+29,0.0,-4.39820202446847e+31,0.0,5.660135817297588e+33,0.0,-7.284144132539427e+35,9.374113529477333e+37
-101.6021653312566,0.0,10323.0,0.0,-1048839.152714562,0.0,106564329.00000001,0.0,-10827166573.472424,0.0,1100063568267.0002,0.0,-111768840537955.83,0.0,1.1355956215220244e+16,0.0,-1.1537897408733181e+18,0.0,1.1722753600971858e+20,0.0,-1.1910571495035264e+22,0.0,1.210139854228325e+24,0.0,-1.2295282954324904e+26,0.0,1.2492273715199e+28,0.0,-1.26924205937496e+30,0.0,1.2895774156199928e+32,0.0,-1.310238577892771e+34,1.3312307661445188e+36
-126.28611797719495,0.0,15948.183593750002,0.0,-2014034.1948422776,0.0,254344559.9399567,0.0,-32120187103.435104,0.0,4056333737993.981,0.0,-512258640991184.06,0.0,6.469115517105022e+16,0.0,-8.169594854012274e+18,0.0,1.0317064195596787e+21,0.0,-1.3029019861834298e+23,0.0,1.6453843393988224e+25,0.0,-2.0778920080314867e+27,0.0,2.6240891527013482e+29,0.0,-3.3138603232072e+31,0.0,4.1849455573648985e+33,0.0,-5.2850052838552145e+35,6.674228007870383e+37
