,open,high,low,close,open_high_diff_exp_1,open_low_diff_exp_inv_1,close_low_diff_exp_inv_2,close_high_diff_exp_1,high_low_diff_exp_inv_2
0,52.5,52.7,51.3,51.65,0.818730753,0.301194212,0.496585304,0.349937749,0.060810063
1,51.7,52.3,51.7,51.85,0.548811636,1,0.740818221,0.637628152,0.301194212
2,51.85,52.1,51.75,51.95,0.778800783,0.904837418,0.670320046,0.860707976,0.496585304
3,51.9,52.15,51.9,52.05,0.778800783,1,0.740818221,0.904837418,0.60653066
4,52.1,52.2,51.85,51.9,0.904837418,0.778800783,0.904837418,0.740818221,0.496585304
5,51.9,52.2,51.75,51.75,0.740818221,0.860707976,1,0.637628152,0.40656966
6,51.8,51.8,51.4,51.6,1,0.670320046,0.670320046,0.818730753,0.449328964
7,51.8,52,51,51.1,0.818730753,0.449328964,0.818730753,0.40656966,0.135335283
8,51.1,51.1,50.3,50.7,1,0.449328964,0.449328964,0.670320046,0.201896518
9,50.75,51.1,49.95,50.25,0.70468809,0.449328964,0.548811636,0.427414932,0.100258844
10,50.25,50.45,49.75,49.85,0.818730753,0.60653066,0.818730753,0.548811636,0.246596964
11,49.85,50.45,49.85,50.05,0.548811636,1,0.670320046,0.670320046,0.301194212
12,50.1,50.4,49.8,49.8,0.740818221,0.740818221,1,0.548811636,0.301194212
13,49.85,49.85,49.6,49.75,1,0.778800783,0.740818221,0.904837418,0.60653066
14,50.25,50.25,49,49.1,1,0.286504797,0.818730753,0.316636769,0.082084999
15,49.1,49.75,48.9,49.65,0.522045777,0.818730753,0.22313016,0.904837418,0.182683524
16,49.55,50.35,49.3,50,0.449328964,0.778800783,0.246596964,0.70468809,0.122456428
17,50,50.35,49.8,50.25,0.70468809,0.818730753,0.40656966,0.904837418,0.332871084
18,50.3,50.65,50,50.35,0.70468809,0.740818221,0.496585304,0.740818221,0.272531793
19,50.35,51.3,50.25,50.3,0.386741023,0.904837418,0.904837418,0.367879441,0.122456428
20,50.35,50.4,49.55,49.6,0.951229425,0.449328964,0.904837418,0.449328964,0.182683524
21,49.9,49.95,49.25,49.85,0.951229425,0.522045777,0.301194212,0.904837418,0.246596964
22,49.85,49.9,49.5,49.7,0.951229425,0.70468809,0.670320046,0.818730753,0.449328964
23,49.65,49.85,49.3,49.45,0.818730753,0.70468809,0.740818221,0.670320046,0.332871084
24,49.45,49.55,49.15,49.3,0.904837418,0.740818221,0.740818221,0.778800783,0.449328964
25,49.35,49.5,49.25,49.35,0.860707976,0.904837418,0.818730753,0.860707976,0.60653066
26,49.4,49.4,47.3,47.3,1,0.122456428,1,0.122456428,0.014995577
27,47.35,47.45,46.85,47.45,0.904837418,0.60653066,0.301194212,1,0.301194212
28,47.45,47.9,46.95,47.7,0.637628152,0.60653066,0.22313016,0.818730753,0.149568619
29,47.55,48.1,47.25,47.95,0.57694981,0.740818221,0.246596964,0.860707976,0.182683524
30,48,48.2,47.8,48,0.818730753,0.818730753,0.670320046,0.818730753,0.449328964
31,48,48.2,47.35,47.45,0.818730753,0.522045777,0.818730753,0.472366553,0.182683524
32,47.45,47.75,47.35,47.7,0.740818221,0.904837418,0.496585304,0.951229425,0.449328964
33,47.65,47.7,46.8,46.95,0.951229425,0.427414932,0.740818221,0.472366553,0.165298888
34,46.95,47.25,46.95,47.25,0.740818221,1,0.548811636,1,0.548811636
35,46.55,47.2,46.1,46.9,0.522045777,0.637628152,0.201896518,0.740818221,0.110803158
36,46.9,47.55,46.8,47.3,0.522045777,0.904837418,0.367879441,0.778800783,0.22313016
37,47.3,47.9,47.2,47.4,0.548811636,0.904837418,0.670320046,0.60653066,0.246596964
38,47.4,47.5,46.95,47.45,0.904837418,0.637628152,0.367879441,0.951229425,0.332871084
39,47.45,47.5,47.05,47.05,0.951229425,0.670320046,1,0.637628152,0.40656966
40,47.05,47.15,46.3,46.3,0.904837418,0.472366553,1,0.427414932,0.182683524
41,46.3,46.4,46.2,46.3,0.904837418,0.904837418,0.818730753,0.904837418,0.670320046
42,46.25,47.55,45.7,47.15,0.272531793,0.57694981,0.05502322,0.670320046,0.024723526
43,47.15,47.6,47,47.35,0.637628152,0.860707976,0.496585304,0.778800783,0.301194212
44,47.25,47.6,46.85,47,0.70468809,0.670320046,0.740818221,0.548811636,0.22313016
45,47,47.15,46.75,47,0.860707976,0.778800783,0.60653066,0.860707976,0.449328964
46,47,47.1,46.1,46.3,0.904837418,0.40656966,0.670320046,0.449328964,0.135335283
47,46.3,47,45.65,46.75,0.496585304,0.522045777,0.110803158,0.778800783,0.067205513
48,46.65,46.9,46.6,46.9,0.778800783,0.951229425,0.548811636,1,0.548811636
49,47.1,47.6,47.1,47.5,0.60653066,1,0.449328964,0.904837418,0.367879441
50,47.5,49.05,47.45,48.8,0.212247974,0.951229425,0.067205513,0.778800783,0.040762204
51,48.8,49.35,48.6,49.05,0.57694981,0.818730753,0.40656966,0.740818221,0.22313016
52,49.05,49.3,48.7,49.05,0.778800783,0.70468809,0.496585304,0.778800783,0.301194212
53,49.05,49.6,48.9,49.2,0.57694981,0.860707976,0.548811636,0.670320046,0.246596964
54,49.2,49.8,49.15,49.45,0.548811636,0.951229425,0.548811636,0.70468809,0.272531793
55,49.4,49.7,49.25,49.6,0.740818221,0.860707976,0.496585304,0.904837418,0.40656966
56,49.7,50.45,49.45,50.1,0.472366553,0.778800783,0.272531793,0.70468809,0.135335283
57,50.05,50.95,50,50.85,0.40656966,0.951229425,0.182683524,0.904837418,0.149568619
58,50.8,51.2,50.55,51.05,0.670320046,0.778800783,0.367879441,0.860707976,0.272531793
59,51.1,51.55,50.9,51,0.637628152,0.818730753,0.818730753,0.57694981,0.272531793
60,51,51.5,50.95,51.2,0.60653066,0.951229425,0.60653066,0.740818221,0.332871084
61,51.2,52.4,50.8,51.9,0.301194212,0.670320046,0.110803158,0.60653066,0.040762204
62,51.95,52,51.65,51.95,0.951229425,0.740818221,0.548811636,0.951229425,0.496585304
63,52.3,52.35,51.1,51.4,0.951229425,0.301194212,0.548811636,0.386741023,0.082084999
64,51.4,52.1,51.1,51.25,0.496585304,0.740818221,0.740818221,0.427414932,0.135335283
65,51.25,51.35,51.15,51.2,0.904837418,0.904837418,0.904837418,0.860707976,0.670320046
66,51.2,51.35,50.85,51.05,0.860707976,0.70468809,0.670320046,0.740818221,0.367879441
67,51.05,51.45,50.95,51.1,0.670320046,0.904837418,0.740818221,0.70468809,0.367879441
68,51.15,51.2,50.9,50.9,0.951229425,0.778800783,1,0.740818221,0.548811636
69,51,51.05,50.75,51.05,0.951229425,0.778800783,0.548811636,1,0.548811636
70,50.85,52,49.85,51.45,0.316636769,0.367879441,0.040762204,0.57694981,0.013568559
71,51.45,51.6,51.05,51.45,0.860707976,0.670320046,0.449328964,0.860707976,0.332871084
72,51.45,51.5,50.85,51.1,0.951229425,0.548811636,0.60653066,0.670320046,0.272531793
73,51.1,51.45,51,51.35,0.70468809,0.904837418,0.496585304,0.904837418,0.40656966
74,51.35,51.65,51.3,51.3,0.740818221,0.951229425,1,0.70468809,0.496585304
75,51.3,51.4,50.15,50.3,0.904837418,0.316636769,0.740818221,0.332871084,0.082084999
76,50.3,50.7,50.05,50.65,0.670320046,0.778800783,0.301194212,0.951229425,0.272531793
77,50.8,51.95,50.7,51.8,0.316636769,0.904837418,0.110803158,0.860707976,0.082084999
