,open,high,low,close,open_high_diff_exp_1,open_low_diff_exp_inv_1,close_low_diff_exp_inv_2,close_high_diff_exp_1,high_low_diff_exp_inv_2,open_close_mid,open_high_mid,open_low_mid,close_high_mid,close_low_mid,high_low_mid
0,52.5,52.7,51.3,51.65,0.818730753,0.301194212,0.496585304,0.349937749,0.060810063,52.075,52.6,51.9,52.175,51.475,52
1,51.7,52.3,51.7,51.85,0.548811636,1,0.740818221,0.637628152,0.301194212,51.775,52,51.7,52.075,51.775,52
2,51.85,52.1,51.75,51.95,0.778800783,0.904837418,0.670320046,0.860707976,0.496585304,51.9,51.975,51.8,52.025,51.85,51.925
3,51.9,52.15,51.9,52.05,0.778800783,1,0.740818221,0.904837418,0.60653066,51.975,52.025,51.9,52.1,51.975,52.025
4,52.1,52.2,51.85,51.9,0.904837418,0.778800783,0.904837418,0.740818221,0.496585304,52,52.15,51.975,52.05,51.875,52.025
5,51.9,52.2,51.75,51.75,0.740818221,0.860707976,1,0.637628152,0.40656966,51.825,52.05,51.825,51.975,51.75,51.975
6,51.8,51.8,51.4,51.6,1,0.670320046,0.670320046,0.818730753,0.449328964,51.7,51.8,51.6,51.7,51.5,51.6
7,51.8,52,51,51.1,0.818730753,0.449328964,0.818730753,0.40656966,0.135335283,51.45,51.9,51.4,51.55,51.05,51.5
8,51.1,51.1,50.3,50.7,1,0.449328964,0.449328964,0.670320046,0.201896518,50.9,51.1,50.7,50.9,50.5,50.7
9,50.75,51.1,49.95,50.25,0.70468809,0.449328964,0.548811636,0.427414932,0.100258844,50.5,50.925,50.35,50.675,50.1,50.525
10,50.25,50.45,49.75,49.85,0.818730753,0.60653066,0.818730753,0.548811636,0.246596964,50.05,50.35,50,50.15,49.8,50.1
11,49.85,50.45,49.85,50.05,0.548811636,1,0.670320046,0.670320046,0.301194212,49.95,50.15,49.85,50.25,49.95,50.15
12,50.1,50.4,49.8,49.8,0.740818221,0.740818221,1,0.548811636,0.301194212,49.95,50.25,49.95,50.1,49.8,50.1
13,49.85,49.85,49.6,49.75,1,0.778800783,0.740818221,0.904837418,0.60653066,49.8,49.85,49.725,49.8,49.675,49.725
14,50.25,50.25,49,49.1,1,0.286504797,0.818730753,0.316636769,0.082084999,49.675,50.25,49.625,49.675,49.05,49.625
15,49.1,49.75,48.9,49.65,0.522045777,0.818730753,0.22313016,0.904837418,0.182683524,49.375,49.425,49,49.7,49.275,49.325
16,49.55,50.35,49.3,50,0.449328964,0.778800783,0.246596964,0.70468809,0.122456428,49.775,49.95,49.425,50.175,49.65,49.825
17,50,50.35,49.8,50.25,0.70468809,0.818730753,0.40656966,0.904837418,0.332871084,50.125,50.175,49.9,50.3,50.025,50.075
18,50.3,50.65,50,50.35,0.70468809,0.740818221,0.496585304,0.740818221,0.272531793,50.325,50.475,50.15,50.5,50.175,50.325
19,50.35,51.3,50.25,50.3,0.386741023,0.904837418,0.904837418,0.367879441,0.122456428,50.325,50.825,50.3,50.8,50.275,50.775
20,50.35,50.4,49.55,49.6,0.951229425,0.449328964,0.904837418,0.449328964,0.182683524,49.975,50.375,49.95,50,49.575,49.975
21,49.9,49.95,49.25,49.85,0.951229425,0.522045777,0.301194212,0.904837418,0.246596964,49.875,49.925,49.575,49.9,49.55,49.6
22,49.85,49.9,49.5,49.7,0.951229425,0.70468809,0.670320046,0.818730753,0.449328964,49.775,49.875,49.675,49.8,49.6,49.7
23,49.65,49.85,49.3,49.45,0.818730753,0.70468809,0.740818221,0.670320046,0.332871084,49.55,49.75,49.475,49.65,49.375,49.575
24,49.45,49.55,49.15,49.3,0.904837418,0.740818221,0.740818221,0.778800783,0.449328964,49.375,49.5,49.3,49.425,49.225,49.35
25,49.35,49.5,49.25,49.35,0.860707976,0.904837418,0.818730753,0.860707976,0.60653066,49.35,49.425,49.3,49.425,49.3,49.375
