,open,high,low,close,open_high_diff_exp_1,open_low_diff_exp_inv_1,close_low_diff_exp_inv_2,close_high_diff_exp_1,high_low_diff_exp_inv_2,open_close_mid,open_high_mid,open_low_mid,close_high_mid,close_low_mid,high_low_mid,data_magnitude
0,52.5,52.7,51.3,51.65,0.818730753,0.301194212,0.496585304,0.349937749,0.060810063,52.075,52.6,51.9,52.175,51.475,52,26.02036762
1,51.7,52.3,51.7,51.85,0.548811636,1,0.740818221,0.637628152,0.301194212,51.775,52,51.7,52.075,51.775,52,25.94404134
2,51.85,52.1,51.75,51.95,0.778800783,0.904837418,0.670320046,0.860707976,0.496585304,51.9,51.975,51.8,52.025,51.85,51.925,25.95633051
3,51.9,52.15,51.9,52.05,0.778800783,1,0.740818221,0.904837418,0.60653066,51.975,52.025,51.9,52.1,51.975,52.025,26.00005409
4,52.1,52.2,51.85,51.9,0.904837418,0.778800783,0.904837418,0.740818221,0.496585304,52,52.15,51.975,52.05,51.875,52.025,26.00634838
5,51.9,52.2,51.75,51.75,0.740818221,0.860707976,1,0.637628152,0.40656966,51.825,52.05,51.825,51.975,51.75,51.975,25.95016257
6,51.8,51.8,51.4,51.6,1,0.670320046,0.670320046,0.818730753,0.449328964,51.7,51.8,51.6,51.7,51.5,51.6,25.82513311
7,51.8,52,51,51.1,0.818730753,0.449328964,0.818730753,0.40656966,0.135335283,51.45,51.9,51.4,51.55,51.05,51.5,25.73840758
8,51.1,51.1,50.3,50.7,1,0.449328964,0.449328964,0.670320046,0.201896518,50.9,51.1,50.7,50.9,50.5,50.7,25.40054133
9,50.75,51.1,49.95,50.25,0.70468809,0.449328964,0.548811636,0.427414932,0.100258844,50.5,50.925,50.35,50.675,50.1,50.525,25.2572236
10,50.25,50.45,49.75,49.85,0.818730753,0.60653066,0.818730753,0.548811636,0.246596964,50.05,50.35,50,50.15,49.8,50.1,25.03790876
11,49.85,50.45,49.85,50.05,0.548811636,1,0.670320046,0.670320046,0.301194212,49.95,50.15,49.85,50.25,49.95,50.15,25.0252997
12,50.1,50.4,49.8,49.8,0.740818221,0.740818221,1,0.548811636,0.301194212,49.95,50.25,49.95,50.1,49.8,50.1,25.01280922
13,49.85,49.85,49.6,49.75,1,0.778800783,0.740818221,0.904837418,0.60653066,49.8,49.85,49.725,49.8,49.675,49.725,24.88130259
