,open,high,low,close,open_high_diff_exp_1,open_low_diff_exp_inv_1,close_low_diff_exp_inv_2,close_high_diff_exp_1,high_low_diff_exp_inv_2,data_magnitude,green_red_vector_pow_2,red_candle_magnitude_pow_4,green_candle_magnitude_pow_4
0,52.5,52.7,51.3,51.65,0.818730753,0.301194212,0.496585304,0.349937749,0.060810063,26.02036762,677.0595313,458409.6089,0
1,51.7,52.3,51.7,51.85,0.548811636,1,0.740818221,0.637628152,0.301194212,25.94404134,673.0932813,0,453054.5653
2,51.85,52.1,51.75,51.95,0.778800783,0.904837418,0.670320046,0.860707976,0.496585304,25.95633051,673.7310938,0,453913.5867
3,51.9,52.15,51.9,52.05,0.778800783,1,0.740818221,0.904837418,0.60653066,26.00005409,676.0028125,0,456979.8025
4,52.1,52.2,51.85,51.9,0.904837418,0.778800783,0.904837418,0.740818221,0.496585304,26.00634838,676.3301563,457422.4803,0
5,51.9,52.2,51.75,51.75,0.740818221,0.860707976,1,0.637628152,0.40656966,25.95016257,673.4109375,453482.2907,0
6,51.8,51.8,51.4,51.6,1,0.670320046,0.670320046,0.818730753,0.449328964,25.82513311,666.9375,444805.6289,0
7,51.8,52,51,51.1,0.818730753,0.449328964,0.818730753,0.40656966,0.135335283,25.73840758,662.465625,438860.7043,0
8,51.1,51.1,50.3,50.7,1,0.449328964,0.449328964,0.670320046,0.201896518,25.40054133,645.1875,416266.9102,0
9,50.75,51.1,49.95,50.25,0.70468809,0.449328964,0.548811636,0.427414932,0.100258844,25.2572236,637.9273438,406951.2959,0
10,50.25,50.45,49.75,49.85,0.818730753,0.60653066,0.818730753,0.548811636,0.246596964,25.03790876,626.896875,392999.6919,0
11,49.85,50.45,49.85,50.05,0.548811636,1,0.670320046,0.670320046,0.301194212,25.0252997,626.265625,0,392208.6331
12,50.1,50.4,49.8,49.8,0.740818221,0.740818221,1,0.548811636,0.301194212,25.01280922,625.640625,391426.1917,0
13,49.85,49.85,49.6,49.75,1,0.778800783,0.740818221,0.904837418,0.60653066,24.88130259,619.0792188,383259.0791,0
14,50.25,50.25,49,49.1,1,0.286504797,0.818730753,0.316636769,0.082084999,24.82681892,616.3709375,379913.1326,0
15,49.1,49.75,48.9,49.65,0.522045777,0.818730753,0.22313016,0.904837418,0.182683524,24.67565222,608.8878125,0,370744.3682
16,49.55,50.35,49.3,50,0.449328964,0.778800783,0.246596964,0.70468809,0.122456428,24.90082202,620.0509375,0,384463.1651
17,50,50.35,49.8,50.25,0.70468809,0.818730753,0.40656966,0.904837418,0.332871084,25.05023079,627.5140625,0,393773.8986
18,50.3,50.65,50,50.35,0.70468809,0.740818221,0.496585304,0.740818221,0.272531793,25.16276391,633.1646875,0,400897.5215
19,50.35,51.3,50.25,50.3,0.386741023,0.904837418,0.904837418,0.367879441,0.122456428,25.27593346,638.8728125,408158.4706,0
20,50.35,50.4,49.55,49.6,0.951229425,0.449328964,0.904837418,0.449328964,0.182683524,24.98830351,624.4153125,389894.4825,0
21,49.9,49.95,49.25,49.85,0.951229425,0.522045777,0.301194212,0.904837418,0.246596964,24.86915446,618.4748438,382511.1324,0
22,49.85,49.9,49.5,49.7,0.951229425,0.70468809,0.670320046,0.818730753,0.449328964,24.86887173,618.4607813,382493.7379,0
23,49.65,49.85,49.3,49.45,0.818730753,0.70468809,0.740818221,0.670320046,0.332871084,24.78146674,614.1210938,377144.7178,0
24,49.45,49.55,49.15,49.3,0.904837418,0.740818221,0.740818221,0.778800783,0.449328964,24.68136633,609.1698438,371087.8985,0
25,49.35,49.5,49.25,49.35,0.860707976,0.904837418,0.818730753,0.860707976,0.60653066,24.68129036,0,0,0
26,49.4,49.4,47.3,47.3,1,0.122456428,1,0.122456428,0.014995577,24.18069995,584.70625,341881.3988,0
27,47.35,47.45,46.85,47.45,0.904837418,0.60653066,0.301194212,1,0.301194212,23.63782721,558.746875,0,312198.0703
28,47.45,47.9,46.95,47.7,0.637628152,0.60653066,0.22313016,0.818730753,0.149568619,23.75066446,564.0940625,0,318202.1113
